I1,I2,I3
1.346,36.547,0.153
1.796,41.993,0.328
1.572,36.547,0.344
1.122,43.145,0.26
1.794,34.558,0.3
1.794,40.527,0.36
1.345,40.736,0.3
1.344,36.966,0.398
1.346,44.611,0.291
0.897,35.709,0.311
1.345,41.993,0.344
1.121,40.317,0.315
1.346,36.338,0.277
1.121,42.935,0.254
1.571,36.966,0.293
0.896,41.364,0.365
1.571,40.945,0.345
1.571,37.176,0.286
1.346,42.726,0.282
0.896,39.165,0.336
1.346,41.574,0.339
1.795,40.527,0.239
1.569,38.956,0.161
1.122,42.412,0.205
1.571,36.757,0.195
1.346,41.364,0.294
1.121,38.118,0.128
1.794,41.993,0.249
1.569,39.584,0.261
0.896,39.584,0.345
1.569,43.145,0.295
1.12,37.385,0.077
1.345,42.935,0.297
1.795,37.594,0.017
1.122,43.982,0.381
1.569,35.709,0.38
1.571,42.412,0.325
1.571,40.317,0.236
1.795,37.909,0.334
1.571,45.134,0.319
1.346,34.767,0.243
1.121,46.6,0.406
1.569,37.909,0.253
1.571,41.155,0.315
1.571,42.726,0.311
1.345,39.375,0.293
1.794,42.202,0.247
0.897,40.736,0.283
0.897,38.118,0.303
1.346,41.993,0.194
1.571,38.746,0.287
1.121,42.935,0.369
2.021,36.966,0.367
1.346,44.82,0.282
0.897,39.165,0.26
1.346,41.364,0.259
1.121,43.145,0.251
1.571,39.794,0.157
1.347,43.563,0.298
1.346,38.327,0.175
1.345,43.563,0.354
1.12,38.537,0.344
1.571,43.773,0.254
1.121,37.909,0.288
1.571,43.982,0.299
1.346,37.385,0.302
1.12,41.783,0.284
1.571,42.935,0.313
1.346,38.537,0.33
1.347,46.6,0.201
0.896,36.338,0.1
1.12,46.81,0.258
1.346,39.165,0.254
1.571,41.783,0.382
1.122,43.354,0.162
1.346,40.317,0.259
0.896,43.145,0.244
1.346,41.574,0.233
1.572,39.375,0.2
0.896,43.145,0.189
1.571,40.003,0.248
1.121,43.563,0.229
1.571,37.176,0.298
1.571,45.134,0.258
1.571,38.118,0.286
1.571,42.412,0.219
1.796,41.155,0.131
1.347,43.145,0.154
0.673,42.202,0.264
1.12,40.736,0.316
1.795,44.82,0.227
1.346,39.375,0.242
1.569,44.611,0.262
1.346,38.537,0.166
1.795,46.6,0.78
2.02,40.003,0.582
1.569,50.58,0.841
1.795,44.611,0.85
2.021,53.826,0.699
1.794,43.982,0.856
2.02,58.224,0.782
1.795,46.391,0.585
2.244,57.805,0.565
1.796,54.768,0.662
2.245,58.015,0.69
2.244,57.177,0.72
2.018,60.633,0.671
2.02,64.193,0.601
2.47,59.586,0.391
2.021,62.832,0.518
1.794,67.23,0.673
1.793,64.612,0.732
1.795,64.822,0.763
2.47,71,0.439
2.016,71.838,0.569
2.018,72.466,0.624
1.795,66.602,0.714
1.569,73.827,0.397
1.794,77.702,0.719
2.02,72.466,0.371
2.018,69.01,0.554
2.466,76.236,0.406
2.018,79.273,0.682
2.242,78.226,0.665
1.795,77.283,0.392
2.244,77.493,0.499
1.794,81.681,0.521
2.242,84.299,0.276
1.795,84.718,0.428
2.242,85.242,0.367
1.795,84.509,0.421
2.018,86.499,0.687
1.794,83.671,0.499
2.242,82.519,0.558
1.795,80.634,0.439
2.918,84.299,0.497
2.468,88.698,0.332
2.242,90.268,0.313
2.018,89.326,0.313
2.02,90.059,0.333
2.018,89.745,0.375
2.244,87.86,0.303
2.24,90.478,0.409
2.466,88.698,0.538
2.917,90.687,0.465
1.793,91.735,0.516
2.242,94.143,0.369
2.47,94.143,0.588
1.794,91.735,0.514
2.244,91.106,0.433
1.345,92.677,0.485
2.02,93.096,0.314
2.242,94.353,0.319
2.018,95.714,0.537
1.795,93.515,0.397
2.918,96.552,0.497
2.02,95.295,0.293
2.466,96.761,0.421
2.47,99.693,0.441
2.018,99.484,0.413
2.244,100.74,0.322
2.245,98.96,0.513
2.016,101.578,0.399
2.018,100.95,0.483
1.794,98.96,0.258
2.018,100.74,0.392
2.016,100.95,0.347
2.02,100.95,0.289
1.794,100.112,0.37
1.793,99.17,0.475
2.244,96.761,0.454
2.017,97.285,0.217
2.021,99.693,0.443
2.694,97.075,0.5
1.791,97.494,0.273
1.795,99.693,0.432
2.244,100.322,0.53
1.794,99.484,0.314
2.017,99.484,0.431
2.018,97.704,0.336
2.018,100.95,0.271
2.02,100.112,0.543
2.466,99.903,0.353
1.794,102.73,0.212
2.468,102.94,0.42
1.794,103.568,0.244
1.569,102.94,0.234
2.466,103.568,0.372
2.018,102.94,0.367
1.569,100.74,0.293
2.241,102.311,0.509
1.794,102.102,0.267
2.02,101.159,0.317
1.794,100.531,0.505
2.693,100.322,0.497
2.244,100.95,0.41
2.693,100.322,0.408
2.242,102.311,0.292
2.244,101.369,0.714
2.466,101.369,0.333
1.794,101.892,0.184
2.018,101.892,0.479
2.468,102.73,0.374
2.242,102.73,0.345
2.018,103.358,0.509
2.018,102.94,0.37
2.02,102.311,0.261
1.793,99.903,0.154
2.242,99.484,0.345
1.569,101.369,0.493
2.917,100.531,0.344
2.017,100.531,0.475
1.794,101.578,0.387
2.018,103.149,0.308
2.018,103.777,0.439
2.244,103.568,0.359
2.016,103.568,0.361
2.018,103.987,0.295
1.794,103.358,0.381
2.016,100.95,0.157
2.018,100.74,0.431
2.242,101.892,0.4
2.242,99.903,0.352
2.242,100.322,0.392
1.793,102.102,0.403
2.018,103.777,0.509
1.795,104.51,0.444
2.242,104.301,0.393
2.017,105.139,0.361
2.017,104.51,0.466
2.018,103.777,0.342
1.793,101.369,0.317
1.791,99.903,0.358
2.242,101.159,0.295
2.244,100.322,0.347
2.02,100.95,0.3
2.018,102.521,0.336
2.468,103.149,0.254
2.018,104.51,0.542
2.694,103.777,0.222
2.242,102.94,0.371
2.018,103.777,0.3
2.242,103.568,0.157
2.018,102.102,0.46
2.242,99.484,0.1
2.242,101.892,0.471
2.018,101.159,0.36
1.794,101.578,0.481
2.018,102.73,0.236
2.02,103.987,0.414
1.793,104.72,0.286
2.464,103.987,0.471
2.244,104.301,0.441
2.018,104.929,0.411
2.468,104.51,0.356
2.47,101.578,0.377
2.918,100.74,0.5
2.244,101.892,0.37
2.018,103.358,0.522
1.794,103.568,0.31
2.018,104.51,0.341
2.466,104.51,0.328
2.468,105.348,0.548
2.018,105.558,0.487
2.468,105.767,0.356
2.018,104.929,0.253
2.018,104.72,0.461
2.016,103.777,0.287
2.693,102.102,0.344
2.242,104.929,0.371
1.794,104.51,0.537
1.795,104.51,0.162
2.02,105.976,0.446
2.242,105.767,0.267
2.02,106.186,0.364
1.795,106.186,0.482
2.466,105.767,0.361
2.02,103.987,0.209
2.242,105.558,0.315
2.018,107.338,0.131
1.794,107.966,0.28
2.244,108.909,0.242
1.794,107.966,0.408
2.02,108.909,0.326
2.018,108.385,0.293
1.569,107.547,0.507
2.693,105.558,0.155
1.794,104.72,0.463
2.016,107.338,0.221
2.242,108.176,0.439
2.02,104.929,0.242
2.018,105.348,0.404
1.793,105.976,0.264
2.468,103.777,0.419
2.017,104.72,0.428
2.244,106.5,0.236
1.794,107.128,0.477
2.468,107.966,0.334
2.244,107.966,0.333
2.244,108.594,0.273
2.018,107.757,0.323
2.017,107.547,0.331
2.244,107.128,0.176
2.017,105.558,0.353
1.794,108.594,0.426
1.569,107.966,0.157
2.017,110.165,0.352
2.018,109.956,0.292
2.018,109.118,0.422
2.02,107.128,0.194
1.795,105.976,0.359
2.018,108.594,0.424
2.018,107.547,0.366
2.02,106.186,0.273
2.245,107.757,0.142
1.794,108.594,0.393
2.693,105.558,0.356
2.245,105.767,0.293
1.795,106.709,0.334
2.018,107.128,0.306
2.244,108.385,0.287
2.242,108.594,0.282
1.793,108.385,0.337
2.018,107.338,0.347
1.794,108.176,0.21
2.02,107.547,0.426
2.244,106.919,0.404
1.793,110.165,0.232
2.018,108.594,0.303
2.018,109.956,0.11
2.018,109.746,0.359
1.793,107.757,0.375
1.794,106.5,0.396
2.02,105.767,0.302
2.018,107.757,0.206
1.793,105.348,0.355
2.694,105.767,0.38
2.242,107.757,0.507
1.794,106.709,0.211
2.688,103.568,0.339
2.017,103.777,0.295
1.569,104.929,0.422
2.693,104.72,0.209
2.017,105.976,0.442
2.018,106.186,0.365
2.02,104.929,0.447
1.795,106.919,0.377
2.242,106.709,0.234
1.793,103.568,0.347
2.018,103.149,0.869
1.793,103.568,0.381
2.016,101.892,0.372
2.02,102.521,0.399
2.018,105.976,0.356
2.242,105.767,0.477
2.018,105.976,0.365
2.017,105.558,0.377
1.793,104.72,0.309
2.018,102.73,0.437
2.693,103.987,0.261
1.794,105.348,0.486
2.694,105.767,0.266
2.018,107.547,0.499
2.02,106.186,0.237
2.468,107.338,0.24
2.242,106.919,0.214
2.02,104.72,0.35
2.244,104.929,0.209
1.794,104.51,0.331
2.242,103.777,0.315
2.242,102.73,0.314
2.018,103.358,0.294
1.793,105.767,0.212
2.018,105.976,0.425
2.242,105.976,0.155
2.242,105.558,0.396
1.569,105.976,0.181
2.468,105.767,0.428
2.242,105.139,0.339
1.793,102.73,0.389
1.569,102.102,0.314
2.244,104.72,0.374
1.794,102.102,0.365
2.244,103.777,0.388
2.017,106.186,0.287
1.795,106.709,0.508
2.242,103.358,0.455
2.242,103.149,0.289
2.241,104.51,0.419
2.018,103.987,0.205
1.795,104.72,0.425
2.018,103.568,0.074
1.794,102.311,0.463
1.794,105.348,0.302
2.018,104.929,0.355
2.242,103.358,0.264
2.466,105.139,0.408
1.795,105.976,0.154
2.242,104.301,0.455
2.018,104.301,0.281
2.242,105.139,0.332
1.793,104.301,0.201
2.242,104.72,0.424
2.468,105.139,0.332
2.018,103.568,0.405
2.244,105.558,0.415
1.793,105.767,0.608
1.792,102.73,-0.057
2.241,102.73,0.271
1.794,103.358,0.432
2.244,101.159,0.352
2.241,101.892,0.459
1.569,103.358,0.414
2.244,103.777,0.24
2.02,105.139,0.388
2.244,104.929,0.415
2.018,103.987,0.387
2.02,104.929,0.365
2.02,104.72,0.259
2.02,103.568,0.45
2.242,101.159,0.349
2.244,103.987,0.398
1.793,103.777,0.508
2.018,103.568,0.276
1.569,105.348,0.43
2.018,105.558,0.496
1.793,106.5,0.391
2.02,106.186,0.336
2.468,106.186,0.245
2.02,105.348,0.415
2.018,105.139,0.367
1.793,103.987,0.367
1.794,103.149,0.388
2.241,106.186,0.294
2.018,106.919,0.3
2.02,108.176,0.475
2.02,107.966,0.325
2.017,105.976,0.421
1.794,105.558,0.361
2.018,105.348,0.398
2.241,106.186,0.367
1.796,103.568,0.292
2.466,105.558,0.405
1.794,107.547,0.286
1.569,108.385,0.336
2.241,108.594,0.243
1.569,107.757,0.452
2.02,108.385,0.319
2.693,107.966,0.365
2.02,107.338,0.377
2.02,106.919,0.411
2.02,105.348,0.488
1.794,107.547,0.264
2.242,108.176,0.256
2.69,105.767,0.382
3.139,107.547,1.067
3.587,110.375,0.919
3.136,111.527,0.87
3.366,112.783,0.671
2.913,115.82,0.914
3.136,116.344,0.84
3.366,117.181,1.041
2.917,118.543,0.864
3.363,122.208,0.798
3.139,122.417,0.708
3.587,124.407,0.503
2.917,124.617,0.798
4.036,125.559,0.671
2.915,128.386,0.891
2.915,129.643,0.551
3.139,130.376,0.83
3.811,134.041,0.662
3.363,131.633,0.674
2.915,134.251,0.856
3.139,133.622,0.663
3.137,135.822,0.664
3.59,140.01,0.981
3.142,134.46,0.486
3.139,141.058,0.79
3.811,140.639,0.645
3.136,140.01,0.564
3.36,141.267,0.45
3.139,143.676,0.747
2.69,140.01,0.557
3.362,144.618,0.729
3.587,142.628,0.477
3.142,148.074,0.552
3.363,148.283,0.369
3.587,150.273,0.505
3.142,145.037,0.392
2.913,150.482,0.499
3.587,148.702,0.569
2.915,147.236,0.557
3.136,152.053,0.393
3.587,147.027,0.358
3.137,154.671,0.427
2.913,152.891,0.549
2.917,155.509,0.699
3.363,155.718,0.574
3.363,151.425,0.518
3.363,152.891,0.645
3.587,155.928,0.449
3.139,150.482,0.399
3.59,158.65,0.509
3.363,156.242,0.623
3.139,159.069,0.496
3.366,158.127,0.463
3.362,154.462,0.507
3.368,158.336,0.619
3.142,159.069,0.474
