I0,I1,I2,I3,I4,I5,I6
0.000,1.240,0.000,0.033,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1.241,0.000,-0.051,0.000,0.000,0.000
0.000,1.242,0.000,-0.037,0.000,0.000,0.000
0.000,0.745,0.000,0.033,0.000,0.000,0.000
0.000,0.745,0.000,-0.051,0.000,0.000,0.000
0.000,1.242,0.000,-0.051,0.000,0.000,0.000
0.000,0.993,0.000,0.020,0.000,0.000,0.000
0.000,0.992,0.000,0.033,0.000,0.000,0.000
0.000,1.242,0.000,-0.280,0.000,0.000,0.000
0.000,1.241,0.000,0.020,0.000,0.000,0.000
0.000,1.242,0.000,-0.051,0.000,0.000,0.000
0.000,0.992,0.000,-0.051,0.000,0.000,0.000
0.000,1.242,0.000,0.033,0.000,0.000,0.000
0.000,0.496,0.000,0.020,0.000,0.000,0.000
0.000,1.489,0.000,0.033,0.000,0.000,0.000
0.000,0.994,0.000,-0.121,0.000,0.000,0.000
0.000,1.242,0.000,0.104,0.000,0.000,0.000
0.000,1.241,0.000,-0.051,0.000,0.000,0.000
0.000,0.496,0.000,-0.121,0.000,0.000,0.000
0.000,1.492,0.000,0.020,0.000,0.000,0.000
0.000,1.490,0.000,-0.051,0.000,0.000,0.000
0.000,0.744,0.000,-0.133,0.000,0.000,0.000
0.000,1.242,0.000,-0.051,0.000,0.000,0.000
0.000,1.243,0.000,0.033,0.000,0.000,0.000
0.000,0.745,0.000,-0.051,0.000,0.000,0.000
0.000,1.241,0.000,-0.051,0.000,0.000,0.000
0.000,1.241,0.000,0.033,0.000,0.000,0.000
0.000,0.745,0.000,0.033,0.000,0.000,0.000
0.000,0.496,0.000,0.048,0.000,0.000,0.000
0.000,0.496,0.000,0.033,0.000,0.000,0.000
0.000,0.992,0.000,-0.121,0.000,0.000,0.000
0.000,1.241,0.000,0.033,0.000,0.000,0.000
0.000,0.992,0.000,-0.203,0.000,0.000,0.000
0.000,1.241,0.000,-0.203,0.000,0.000,0.000
0.000,1.490,0.000,-0.051,0.000,0.000,0.000
0.000,0.744,0.000,0.033,0.000,0.000,0.000
0.000,1.241,0.000,0.033,0.000,0.000,0.000
0.000,1.490,0.000,0.020,0.000,0.000,0.000
0.000,1.490,0.000,-0.133,0.000,0.000,0.000
0.000,0.994,0.000,0.020,0.000,0.000,0.000
0.000,1.242,0.000,0.020,0.000,0.000,0.000
0.000,1.242,0.000,0.020,0.000,0.000,0.000
0.000,1.489,0.000,0.033,0.000,0.000,0.000
0.000,1.490,0.000,-0.051,0.000,0.000,0.000
0.000,1.490,0.000,0.033,0.000,0.000,0.000
0.000,1.242,0.000,-0.051,0.000,0.000,0.000
0.000,1.490,0.000,-0.051,0.000,0.000,0.000
0.000,1.241,0.000,-0.051,0.000,0.000,0.000
0.000,0.496,0.000,-0.051,0.000,0.000,0.000
0.000,0.994,0.000,0.020,0.000,0.000,0.000
0.000,0.744,0.000,0.020,0.000,0.000,0.000
0.000,0.496,0.000,0.020,0.000,0.000,0.000
0.000,1.241,0.000,0.020,0.000,0.000,0.000
0.000,1.241,0.000,0.020,0.000,0.000,0.000
0.000,0.744,0.000,0.104,0.000,0.000,0.000
0.000,1.739,0.000,-0.121,0.000,0.000,0.000
