I0,I1,I2,I3,I4,I5,I6
0.000,82.273,363.273,9.961,0.000,0.000,0.000
0.000,86.976,359.084,11.600,0.000,0.000,0.000
0.000,87.566,332.590,13.840,0.000,0.000,0.000
0.000,87.835,299.917,13.401,0.000,0.000,0.000
0.000,93.973,304.525,12.347,0.000,0.000,0.000
0.000,87.640,329.972,11.302,0.000,0.000,0.000
0.000,90.478,350.183,11.013,0.000,0.000,0.000
0.000,86.250,354.686,12.144,0.000,0.000,0.000
0.000,87.680,334.161,12.759,0.000,0.000,0.000
0.000,91.546,301.698,12.916,0.000,0.000,0.000
0.000,99.156,289.445,13.014,0.000,0.000,0.000
0.000,85.939,295.519,11.663,0.000,0.000,0.000
0.000,95.231,319.919,11.200,0.000,0.000,0.000
0.000,86.408,349.659,9.725,0.000,0.000,0.000
0.000,82.479,382.122,8.943,0.000,0.000,0.000
0.000,81.488,395.736,9.858,0.000,0.000,0.000
0.000,82.277,366.833,12.117,0.000,0.000,0.000
0.000,97.314,342.434,12.139,0.000,0.000,0.000
0.000,90.213,334.789,10.619,0.000,0.000,0.000
0.000,80.344,365.472,8.584,0.000,0.000,0.000
0.000,73.346,398.773,8.633,0.000,0.000,0.000
0.000,74.340,437.100,8.318,0.000,0.000,0.000
0.000,80.531,443.907,9.459,0.000,0.000,0.000
0.000,90.802,409.978,10.468,0.000,0.000,0.000
0.000,70.757,384.531,9.174,0.000,0.000,0.000
0.000,81.643,390.919,8.381,0.000,0.000,0.000
0.000,74.977,430.817,8.481,0.000,0.000,0.000
0.000,73.769,439.509,8.840,0.000,0.000,0.000
0.000,77.142,438.043,8.651,0.000,0.000,0.000
0.000,70.310,425.476,9.188,0.000,0.000,0.000
0.000,85.341,404.428,9.918,0.000,0.000,0.000
0.000,76.525,407.150,8.921,0.000,0.000,0.000
0.000,81.424,422.439,8.467,0.000,0.000,0.000
0.000,75.768,443.698,8.593,0.000,0.000,0.000
0.000,75.980,433.016,9.152,0.000,0.000,0.000
0.000,79.100,405.998,9.861,0.000,0.000,0.000
0.000,94.487,409.559,8.988,0.000,0.000,0.000
0.000,83.174,426.000,7.700,0.000,0.000,0.000
0.000,75.463,436.053,8.068,0.000,0.000,0.000
0.000,75.020,427.257,9.314,0.000,0.000,0.000
0.000,71.261,415.842,8.157,0.000,0.000,0.000
0.000,81.520,430.084,8.396,0.000,0.000,0.000
0.000,73.886,446.316,8.621,0.000,0.000,0.000
0.000,87.356,441.289,9.611,0.000,0.000,0.000
0.000,87.312,424.220,8.850,0.000,0.000,0.000
0.000,82.111,427.885,9.202,0.000,0.000,0.000
0.000,86.301,434.482,8.341,0.000,0.000,0.000
0.000,83.282,442.650,8.284,0.000,0.000,0.000
0.000,77.110,443.488,7.949,0.000,0.000,0.000
0.000,81.610,451.761,8.218,0.000,0.000,0.000
0.000,84.276,459.091,8.658,0.000,0.000,0.000
0.000,83.757,454.484,10.334,0.000,0.000,0.000
0.000,96.794,424.429,11.786,0.000,0.000,0.000
0.000,89.623,373.535,9.583,0.000,0.000,0.000
0.000,94.514,384.112,9.038,0.000,0.000,0.000
0.000,73.527,397.202,8.661,0.000,0.000,0.000
0.000,79.673,411.758,7.975,0.000,0.000,0.000
0.000,75.428,412.596,8.748,0.000,0.000,0.000
0.000,76.210,408.407,10.245,0.000,0.000,0.000
0.000,74.137,381.494,10.697,0.000,0.000,0.000
0.000,92.916,349.659,11.343,0.000,0.000,0.000
0.000,82.309,319.500,10.685,0.000,0.000,0.000
0.000,84.120,322.956,9.130,0.000,0.000,0.000
0.000,68.534,343.167,8.253,0.000,0.000,0.000
0.000,58.540,362.226,7.627,0.000,0.000,0.000
0.000,66.656,370.917,8.970,0.000,0.000,0.000
0.000,64.214,362.854,10.250,0.000,0.000,0.000
0.000,79.079,335.417,10.919,0.000,0.000,0.000
0.000,69.997,316.358,10.261,0.000,0.000,0.000
0.000,74.892,312.903,9.375,0.000,0.000,0.000
0.000,66.401,306.096,9.034,0.000,0.000,0.000
0.000,62.347,299.708,9.537,0.000,0.000,0.000
0.000,58.005,304.106,8.818,0.000,0.000,0.000
0.000,63.655,311.122,8.042,0.000,0.000,0.000
0.000,56.767,320.128,8.887,0.000,0.000,0.000
0.000,62.122,313.740,9.808,0.000,0.000,0.000
0.000,65.751,278.659,11.509,0.000,0.000,0.000
0.000,68.702,236.352,11.415,0.000,0.000,0.000
0.000,62.122,220.645,9.844,0.000,0.000,0.000
0.000,48.343,240.960,8.644,0.000,0.000,0.000
0.000,52.273,270.805,7.826,0.000,0.000,0.000
0.000,47.897,290.283,8.467,0.000,0.000,0.000
0.000,58.157,278.659,9.850,0.000,0.000,0.000
0.000,59.671,236.143,12.356,0.000,0.000,0.000
0.000,63.830,187.134,11.750,0.000,0.000,0.000
0.000,48.479,172.159,9.386,0.000,0.000,0.000
0.000,47.837,192.999,8.064,0.000,0.000,0.000
0.000,36.915,224.519,8.225,0.000,0.000,0.000
0.000,43.671,235.515,7.892,0.000,0.000,0.000
0.000,49.114,237.086,8.307,0.000,0.000,0.000
0.000,51.130,238.761,9.299,0.000,0.000,0.000
0.000,52.583,223.472,9.279,0.000,0.000,0.000
0.000,45.649,215.409,9.740,0.000,0.000,0.000
0.000,51.196,218.864,8.071,0.000,0.000,0.000
0.000,43.505,235.515,7.893,0.000,0.000,0.000
0.000,46.978,252.165,7.952,0.000,0.000,0.000
0.000,48.965,256.145,8.594,0.000,0.000,0.000
0.000,49.672,249.128,9.026,0.000,0.000,0.000
0.000,47.889,238.552,9.099,0.000,0.000,0.000
0.000,52.949,252.375,8.134,0.000,0.000,0.000
0.000,46.687,267.559,8.540,0.000,0.000,0.000
0.000,54.785,272.376,8.713,0.000,0.000,0.000
0.000,55.336,267.245,8.782,0.000,0.000,0.000
0.000,57.738,253.945,8.472,0.000,0.000,0.000
0.000,57.724,259.810,8.882,0.000,0.000,0.000
0.000,47.423,273.633,7.651,0.000,0.000,0.000
0.000,53.369,279.602,8.817,0.000,0.000,0.000
0.000,52.841,284.000,8.787,0.000,0.000,0.000
0.000,56.550,277.403,9.480,0.000,0.000,0.000
0.000,54.159,273.423,9.460,0.000,0.000,0.000
0.000,62.347,270.596,9.108,0.000,0.000,0.000
0.000,53.998,272.795,7.749,0.000,0.000,0.000
0.000,60.114,288.817,7.665,0.000,0.000,0.000
0.000,54.860,301.069,8.562,0.000,0.000,0.000
0.000,62.267,299.917,9.003,0.000,0.000,0.000
0.000,65.658,285.047,9.733,0.000,0.000,0.000
0.000,60.826,272.795,9.203,0.000,0.000,0.000
0.000,63.810,284.000,7.582,0.000,0.000,0.000
0.000,52.393,302.535,7.844,0.000,0.000,0.000
0.000,57.915,318.348,8.345,0.000,0.000,0.000
0.000,62.731,322.118,9.064,0.000,0.000,0.000
0.000,68.309,313.112,10.151,0.000,0.000,0.000
0.000,61.913,294.681,9.851,0.000,0.000,0.000
0.000,66.501,295.310,8.755,0.000,0.000,0.000
0.000,55.978,314.159,7.797,0.000,0.000,0.000
0.000,58.139,330.600,8.405,0.000,0.000,0.000
0.000,59.533,340.444,8.839,0.000,0.000,0.000
0.000,67.076,325.993,10.199,0.000,0.000,0.000
0.000,69.806,308.504,9.420,0.000,0.000,0.000
0.000,63.080,311.751,8.071,0.000,0.000,0.000
0.000,64.933,330.181,7.922,0.000,0.000,0.000
0.000,58.289,344.423,8.219,0.000,0.000,0.000
0.000,60.443,348.822,9.559,0.000,0.000,0.000
0.000,71.312,332.799,9.886,0.000,0.000,0.000
0.000,68.309,328.401,8.406,0.000,0.000,0.000
0.000,59.926,343.376,7.944,0.000,0.000,0.000
0.000,65.361,354.267,7.838,0.000,0.000,0.000
0.000,59.954,351.230,9.227,0.000,0.000,0.000
0.000,69.985,330.391,9.296,0.000,0.000,0.000
0.000,71.965,326.516,8.978,0.000,0.000,0.000
0.000,66.730,343.167,8.220,0.000,0.000,0.000
0.000,65.700,365.472,8.743,0.000,0.000,0.000
0.000,63.501,373.116,9.681,0.000,0.000,0.000
0.000,88.839,375.106,10.037,0.000,0.000,0.000
0.000,87.597,364.111,11.858,0.000,0.000,0.000
0.000,90.710,341.805,12.256,0.000,0.000,0.000
0.000,96.031,326.202,12.678,0.000,0.000,0.000
0.000,97.046,323.375,11.682,0.000,0.000,0.000
0.000,83.291,336.779,11.079,0.000,0.000,0.000
0.000,96.632,341.805,11.118,0.000,0.000,0.000
0.000,86.878,332.799,12.803,0.000,0.000,0.000
0.000,89.999,311.122,12.886,0.000,0.000,0.000
0.000,93.845,304.944,12.655,0.000,0.000,0.000
0.000,86.583,318.557,11.660,0.000,0.000,0.000
0.000,90.131,334.161,11.603,0.000,0.000,0.000
0.000,87.986,329.553,12.667,0.000,0.000,0.000
0.000,88.690,304.944,14.020,0.000,0.000,0.000
0.000,95.671,285.466,13.069,0.000,0.000,0.000
0.000,95.682,292.901,12.035,0.000,0.000,0.000
0.000,94.150,318.557,11.918,0.000,0.000,0.000
0.000,88.829,337.407,12.117,0.000,0.000,0.000
0.000,83.742,321.176,13.364,0.000,0.000,0.000
0.000,97.071,288.817,14.119,0.000,0.000,0.000
0.000,90.818,290.493,13.097,0.000,0.000,0.000
0.000,88.709,313.950,12.069,0.000,0.000,0.000
0.000,89.199,334.999,11.414,0.000,0.000,0.000
0.000,79.208,343.795,12.343,0.000,0.000,0.000
0.000,94.227,325.574,13.542,0.000,0.000,0.000
0.000,93.646,294.472,14.124,0.000,0.000,0.000
0.000,89.830,286.409,12.993,0.000,0.000,0.000
0.000,93.439,305.677,11.921,0.000,0.000,0.000
0.000,86.441,324.945,11.285,0.000,0.000,0.000
0.000,82.431,330.810,12.319,0.000,0.000,0.000
0.000,90.073,311.541,12.990,0.000,0.000,0.000
0.000,87.548,287.037,13.354,0.000,0.000,0.000
0.000,89.856,291.016,12.637,0.000,0.000,0.000
0.000,93.184,312.170,11.798,0.000,0.000,0.000
0.000,85.265,323.584,12.319,0.000,0.000,0.000
0.000,91.455,316.358,13.469,0.000,0.000,0.000
0.000,90.297,285.257,14.442,0.000,0.000,0.000
0.000,90.244,266.198,12.744,0.000,0.000,0.000
0.000,84.743,279.602,12.914,0.000,0.000,0.000
0.000,90.792,302.850,11.046,0.000,0.000,0.000
0.000,80.610,322.537,11.395,0.000,0.000,0.000
0.000,88.229,339.187,11.445,0.000,0.000,0.000
0.000,81.262,340.758,11.271,0.000,0.000,0.000
0.000,96.077,330.600,11.482,0.000,0.000,0.000
0.000,83.551,338.559,11.182,0.000,0.000,0.000
0.000,84.034,363.482,10.271,0.000,0.000,0.000
0.000,81.556,380.342,9.591,0.000,0.000,0.000
0.000,77.723,384.531,9.940,0.000,0.000,0.000
0.000,87.075,386.102,10.176,0.000,0.000,0.000
0.000,78.121,389.557,9.550,0.000,0.000,0.000
0.000,79.060,389.976,9.448,0.000,0.000,0.000
0.000,81.310,392.175,9.323,0.000,0.000,0.000
0.000,79.051,394.793,9.180,0.000,0.000,0.000
0.000,79.074,404.951,9.138,0.000,0.000,0.000
0.000,82.128,407.569,9.288,0.000,0.000,0.000
0.000,73.368,409.978,9.175,0.000,0.000,0.000
0.000,88.261,406.627,9.302,0.000,0.000,0.000
0.000,75.119,410.397,8.207,0.000,0.000,0.000
0.000,82.357,418.251,9.640,0.000,0.000,0.000
0.000,85.511,411.444,9.261,0.000,0.000,0.000
0.000,72.191,410.816,8.658,0.000,0.000,0.000
0.000,78.345,414.167,8.655,0.000,0.000,0.000
0.000,74.244,429.246,8.728,0.000,0.000,0.000
0.000,76.059,425.476,9.545,0.000,0.000,0.000
0.000,79.485,413.643,9.083,0.000,0.000,0.000
0.000,77.755,416.994,7.655,0.000,0.000,0.000
0.000,68.439,427.675,7.885,0.000,0.000,0.000
0.000,79.237,430.084,9.014,0.000,0.000,0.000
0.000,83.462,424.220,9.113,0.000,0.000,0.000
0.000,84.404,415.423,8.640,0.000,0.000,0.000
0.000,74.721,431.236,7.283,0.000,0.000,0.000
0.000,71.154,444.850,7.322,0.000,0.000,0.000
0.000,74.189,438.880,9.033,0.000,0.000,0.000
0.000,77.636,428.094,8.618,0.000,0.000,0.000
0.000,77.188,430.084,7.917,0.000,0.000,0.000
0.000,75.617,440.242,7.616,0.000,0.000,0.000
0.000,79.380,442.127,8.422,0.000,0.000,0.000
0.000,72.196,441.917,8.997,0.000,0.000,0.000
0.000,86.023,440.242,8.611,0.000,0.000,0.000
0.000,74.528,448.096,7.614,0.000,0.000,0.000
0.000,73.354,457.521,7.585,0.000,0.000,0.000
0.000,68.264,445.897,9.891,0.000,0.000,0.000
0.000,83.350,405.580,11.711,0.000,0.000,0.000
0.000,95.840,370.289,11.282,0.000,0.000,0.000
0.000,80.617,365.263,9.866,0.000,0.000,0.000
0.000,86.372,382.751,9.265,0.000,0.000,0.000
0.000,89.461,393.956,8.623,0.000,0.000,0.000
0.000,77.065,408.198,9.415,0.000,0.000,0.000
0.000,84.036,405.370,10.081,0.000,0.000,0.000
0.000,85.178,374.687,12.827,0.000,0.000,0.000
0.000,87.315,324.527,13.407,0.000,0.000,0.000
0.000,92.649,290.702,12.330,0.000,0.000,0.000
0.000,90.641,313.531,10.890,0.000,0.000,0.000
0.000,91.183,354.267,10.483,0.000,0.000,0.000
0.000,89.063,383.903,9.886,0.000,0.000,0.000
0.000,79.027,395.003,10.659,0.000,0.000,0.000
0.000,93.238,374.687,12.611,0.000,0.000,0.000
0.000,80.707,329.763,12.213,0.000,0.000,0.000
0.000,89.246,317.091,12.214,0.000,0.000,0.000
0.000,90.397,330.391,11.846,0.000,0.000,0.000
0.000,86.635,335.627,11.271,0.000,0.000,0.000
0.000,86.364,341.596,11.129,0.000,0.000,0.000
0.000,88.100,349.659,10.142,0.000,0.000,0.000
0.000,82.495,353.848,10.947,0.000,0.000,0.000
0.000,87.134,351.230,12.026,0.000,0.000,0.000
0.000,91.420,327.145,14.126,0.000,0.000,0.000
0.000,96.043,298.870,13.793,0.000,0.000,0.000
0.000,101.162,299.080,12.510,0.000,0.000,0.000
0.000,87.986,323.165,11.305,0.000,0.000,0.000
0.000,88.977,340.758,10.416,0.000,0.000,0.000
0.000,98.900,347.251,11.381,0.000,0.000,0.000
0.000,89.338,327.145,13.613,0.000,0.000,0.000
0.000,95.773,294.891,13.572,0.000,0.000,0.000
0.000,96.234,284.209,12.405,0.000,0.000,0.000
0.000,88.926,308.086,11.849,0.000,0.000,0.000
0.000,86.326,342.852,10.353,0.000,0.000,0.000
0.000,73.312,365.263,10.146,0.000,0.000,0.000
0.000,89.040,371.127,11.272,0.000,0.000,0.000
0.000,83.346,357.094,11.204,0.000,0.000,0.000
0.000,86.897,357.094,11.075,0.000,0.000,0.000
0.000,88.956,364.425,9.401,0.000,0.000,0.000
0.000,82.407,382.541,9.896,0.000,0.000,0.000
0.000,82.774,394.165,8.907,0.000,0.000,0.000
0.000,83.159,402.962,9.243,0.000,0.000,0.000
0.000,80.878,403.380,9.486,0.000,0.000,0.000
0.000,87.887,393.746,9.819,0.000,0.000,0.000
0.000,84.729,399.401,9.128,0.000,0.000,0.000
0.000,77.282,409.035,8.196,0.000,0.000,0.000
0.000,86.864,427.466,9.182,0.000,0.000,0.000
0.000,77.554,424.220,9.293,0.000,0.000,0.000
0.000,83.469,416.785,8.879,0.000,0.000,0.000
0.000,76.480,413.224,8.680,0.000,0.000,0.000
0.000,82.840,416.785,8.330,0.000,0.000,0.000
0.000,82.029,427.257,9.323,0.000,0.000,0.000
0.000,78.363,424.010,9.001,0.000,0.000,0.000
0.000,80.180,424.639,8.385,0.000,0.000,0.000
0.000,80.324,434.692,8.019,0.000,0.000,0.000
0.000,77.210,432.074,8.699,0.000,0.000,0.000
0.000,82.948,421.392,9.351,0.000,0.000,0.000
0.000,92.124,418.670,8.429,0.000,0.000,0.000
0.000,72.553,429.246,8.407,0.000,0.000,0.000
0.000,76.503,439.928,8.872,0.000,0.000,0.000
0.000,69.060,438.043,8.647,0.000,0.000,0.000
0.000,81.089,422.439,8.905,0.000,0.000,0.000
