I1,I2,I3
1.483,0,0.19
0.987,0,0.308
1.73,0,0.19
1.481,0,0.396
1.235,0,0.28
1.235,0,0.19
0.741,0,-0.221
1.236,0,0.308
0.988,0,0.19
0.988,0,0.28
0.988,0,0.308
0.741,0,0.308
1.235,0,0.19
0.988,0,0.28
1.236,0,0.131
1.235,0,0.19
0.741,0,0.219
0.74,-0.314,0.161
1.481,0,0.159
1.483,0,0.073
1.483,0,0.189
0.741,0,0.189
1.235,-0.314,0.189
1.236,-0.314,0.131
1.481,0,0.22
0.741,-0.314,0.101
0.74,-0.314,0.22
1.235,-0.314,0.101
1.235,0,0.161
1.236,0,0.131
1.235,0,0.19
1.481,0,0.19
1.483,-0.314,0.101
0.494,-0.314,0.132
0.74,-0.314,0.045
0.741,0,0.013
0.988,0,0.013
1.235,0,0.045
1.236,0,0.013
1.235,0,0.1
1.236,0,0.132
0.988,0,0.013
0.741,-0.314,0.013
0.741,-0.314,0.046
1.235,-0.314,0.046
1.236,0,0.079
0.988,0,0.046
1.483,0,0.046
1.235,0,-0.043
0.989,0,0.046
0.741,0,-0.011
1.235,0,-0.043
0.741,-0.314,-0.077
0.741,-0.314,-0.132
0.988,0,-0.132
0.741,0,-0.167
0.493,0,0.011
0.741,0,-0.132
0.988,0,-0.043
1.235,-0.314,-0.132
0.74,-0.314,-0.043
1.236,-0.314,-0.133
1.235,0,-0.096
0.988,0,-0.043
1.235,0,-0.096
1.235,0,-0.133
0.987,0,-0.096
0.494,0,-0.186
0.989,0,-0.222
1.235,0,-0.259
1.235,0,-0.168
1.235,-0.314,-0.096
1.235,-0.314,-0.259
1.236,0,-0.259
0.988,0,-0.222
0.988,0,-0.222
1.235,0,-0.222
0.988,0,-0.222
0.988,-0.314,-0.259
0.988,0,-0.259
0.988,0,-0.222
0.988,0,-0.276
0.987,0,-0.187
1.481,0,-0.187
1.235,0,-0.222
1.235,0,-0.222
0.989,0,-0.222
0.988,0,-0.366
1.483,0,-0.187
1.732,-0.314,-0.313
1.236,-0.314,-0.223
1.235,0,-0.35
1.235,0,-0.313
0.74,0,-0.223
1.235,0,-0.313
0.741,0,-0.261
1.235,0,-0.223
1.234,0,-0.313
1.483,0,-0.275
0.74,0,-0.313
0.741,0,-0.313
0.741,0,-0.275
1.235,0,-0.223
1.235,0,-0.223
0.493,0,-0.133
1.73,0,-0.094
0.988,0,-0.313
0.741,0,-0.223
1.235,0,-0.313
1.236,0,-0.184
0.741,0,-0.223
0.741,0,-0.223
1.235,0,-0.146
0.988,0,-0.223
0.74,0,-0.223
0.741,0,-0.133
0.988,0,-0.223
1.235,0,-0.186
1.235,0,-0.095
1.236,0,-0.133
0.988,0,-0.223
1.235,0,-0.171
1.483,0,-0.133
1.483,0,-0.223
0.988,0,-0.133
1.483,0,-0.043
1.235,0,-0.223
0.988,0,-0.133
1.235,0,-0.043
1.483,0,-0.081
0.988,0,-0.223
1.727,0,-0.223
1.481,0,-0.171
1.481,0,-0.186
0.741,0,-0.043
1.483,0.209,-0.079
0.988,0.209,-0.043
0.988,0.209,0.082
1.235,0,-0.078
1.235,0,-0.043
0.494,-0.314,-0.043
0.741,0,-0.009
1.483,0,-0.078
1.235,0,-0.009
1.481,0,0.134
0.741,0,0.082
0.988,0,0.046
1.483,0,0.046
0.741,0,0.168
0.988,0,0.046
0.741,0,0.082
0.74,0.209,0.046
1.236,0.209,0.046
1.483,-0.314,0.046
1.235,0,0.046
1.728,0,0.1
1.481,0,0.012
0.988,0,0.046
1.235,0,0.155
1.235,0,0.222
1.73,0,0.133
1.235,0.209,0.221
0.988,0,0.157
1.483,-0.314,0.1
1.483,0,0.1
0.741,0,0.132
1.235,0,0.1
0.494,0,0.132
1.235,0,0.221
1.235,0,0.189
1.729,0,0.1
1.483,0,0.045
1.235,0.209,0.31
1.483,0.209,0.19
0.987,0.209,-0.044
1.483,-0.314,0.338
1.235,0,0.22
0.74,0,0.278
0.988,0,0.16
0.494,0,0.309
0.74,0.209,0.19
1.732,0,0.101
0.989,0,0.189
1.729,0,0.22
1.483,0,0.131
0.494,0,0.22
0.493,0,0.189
1.235,0,0.278
1.235,0,0.366
0.741,0,0.308
0.494,0,0.366
1.235,0,0.278
1.235,0,0.073
0.494,0,0.278
0.988,0,0.189
1.483,0,0.397
0.494,0,0.338
1.235,0,0.366
0.988,0,0.278
1.483,0,0.189
1.483,0,0.308
1.235,0,0.189
1.235,0,0.308
1.235,0,0.189
1.483,0,0.25
1.483,0,0.278
1.235,0,0.25
0.247,0,0.278
0.741,0,0.189
1.235,0,0.22
1.236,0,0.278
0.988,0,0.189
0.741,0,0.189
1.235,0,0.22
0.988,0,0.131
1.235,0,0.101
0.494,0,0.278
1.483,0,0.308
1.73,0,0.131
1.236,0,0.278
1.235,0,0.131
1.235,0,0.189
1.235,0,0.189
1.235,0,0.101
0.988,-0.314,0.19
