I0,I1,I2,I3,I4,I5,I6
0.000,0.992,0.000,0.094,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.743,0.000,0.013,0.000,0.000,0.000
0.000,0.992,0.000,-0.061,0.000,0.000,0.000
0.000,0.991,0.000,-0.057,0.000,0.000,0.000
0.000,1.489,0.000,0.017,0.000,0.000,0.000
0.000,0.744,0.000,0.017,0.000,0.000,0.000
0.000,1.487,0.000,0.013,0.000,0.000,0.000
0.000,1.735,0.000,0.017,0.000,0.000,0.000
0.000,1.487,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,0.017,0.000,0.000,0.000
0.000,0.992,0.000,-0.057,0.000,0.000,0.000
0.000,0.992,0.000,0.013,0.000,0.000,0.000
0.000,1.735,0.000,0.013,0.000,0.000,0.000
0.000,0.992,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,-0.066,0.000,0.000,0.000
0.000,0.744,0.000,-0.066,0.000,0.000,0.000
0.000,0.495,0.000,0.098,0.000,0.000,0.000
0.000,0.743,0.000,0.017,0.000,0.000,0.000
0.000,0.991,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,0.017,0.000,0.000,0.000
0.000,1.487,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,0.013,0.000,0.000,0.000
0.000,0.991,0.000,0.013,0.000,0.000,0.000
0.000,1.240,0.000,0.013,0.000,0.000,0.000
0.000,0.992,0.000,-0.061,0.000,0.000,0.000
0.000,1.238,0.000,-0.061,0.000,0.000,0.000
0.000,1.487,0.000,0.013,0.000,0.000,0.000
0.000,1.737,0.000,0.013,0.000,0.000,0.000
0.000,0.743,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,-0.066,0.000,0.000,0.000
0.000,1.487,0.000,0.017,0.000,0.000,0.000
0.000,0.495,0.000,0.013,0.000,0.000,0.000
0.000,0.744,0.000,0.013,0.000,0.000,0.000
0.000,1.487,0.000,0.013,0.000,0.000,0.000
0.000,1.487,0.000,-0.057,0.000,0.000,0.000
0.000,0.992,0.000,0.010,0.000,0.000,0.000
0.000,0.744,0.000,-0.066,0.000,0.000,0.000
0.000,0.744,0.000,0.013,0.000,0.000,0.000
0.000,0.992,0.000,0.013,0.000,0.000,0.000
0.000,1.487,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,-0.061,0.000,0.000,0.000
0.000,0.743,0.000,0.017,0.000,0.000,0.000
0.000,0.743,0.000,0.013,0.000,0.000,0.000
0.000,1.487,0.000,-0.061,0.000,0.000,0.000
0.000,0.992,0.000,0.017,0.000,0.000,0.000
0.000,0.991,0.000,-0.066,0.000,0.000,0.000
0.000,1.240,0.000,0.017,0.000,0.000,0.000
0.000,1.241,0.000,0.017,0.000,0.000,0.000
0.000,0.743,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,0.013,0.000,0.000,0.000
0.000,0.743,0.000,0.013,0.000,0.000,0.000
0.000,0.991,0.000,0.024,0.000,0.000,0.000
0.000,0.991,0.000,0.098,0.000,0.000,0.000
0.000,1.240,0.000,0.098,0.000,0.000,0.000
0.000,1.240,0.000,0.017,0.000,0.000,0.000
0.000,1.735,0.000,-0.061,0.000,0.000,0.000
0.000,1.487,0.000,-0.061,0.000,0.000,0.000
0.000,1.238,0.000,-0.066,0.000,0.000,0.000
0.000,1.240,0.000,0.013,0.000,0.000,0.000
0.000,0.744,0.000,-0.066,0.000,0.000,0.000
0.000,0.743,0.000,0.017,0.000,0.000,0.000
0.000,0.495,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,0.021,0.000,0.000,0.000
0.000,1.240,0.000,-0.061,0.000,0.000,0.000
0.000,0.743,0.000,0.010,0.000,0.000,0.000
0.000,1.736,0.000,0.013,0.000,0.000,0.000
0.000,0.744,0.000,0.098,0.000,0.000,0.000
0.000,0.743,0.000,0.017,0.000,0.000,0.000
0.000,1.487,0.000,0.013,0.000,0.000,0.000
0.000,1.735,0.000,0.013,0.000,0.000,0.000
0.000,1.240,0.000,0.017,0.000,0.000,0.000
0.000,0.992,0.000,0.010,0.000,0.000,0.000
0.000,1.240,0.000,0.010,0.000,0.000,0.000
0.000,1.238,0.000,0.094,0.000,0.000,0.000
0.000,1.487,0.000,0.021,0.000,0.000,0.000
0.000,1.240,0.000,0.101,0.000,0.000,0.000
0.000,0.744,0.000,-0.061,0.000,0.000,0.000
0.000,1.240,0.000,-0.066,0.000,0.000,0.000
0.000,0.496,0.000,-0.061,0.000,0.000,0.000
0.000,0.992,0.000,-0.061,0.000,0.000,0.000
0.000,1.240,0.000,-0.061,0.000,0.000,0.000
0.000,0.743,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,0.013,0.000,0.000,0.000
0.000,1.240,0.000,0.094,0.000,0.000,0.000
0.000,1.488,0.000,-0.061,0.000,0.000,0.000
0.000,0.495,0.000,-0.070,0.000,0.000,0.000
0.000,1.240,0.000,0.010,0.000,0.000,0.000
0.000,0.743,0.000,0.013,0.000,0.000,0.000
0.000,1.487,0.000,-0.061,0.000,0.000,0.000
0.000,1.240,0.000,0.013,0.000,0.000,0.000
0.000,1.488,0.000,0.013,0.000,0.000,0.000
0.000,1.240,0.000,-0.061,0.000,0.000,0.000
0.000,1.240,0.000,0.017,0.000,0.000,0.000
0.000,1.240,0.000,0.013,0.000,0.000,0.000
0.000,1.240,0.000,-0.057,0.000,0.000,0.000
0.000,1.489,0.000,0.017,0.000,0.000,0.000
0.000,0.743,0.000,-0.066,0.000,0.000,0.000
