I0,I1,I2,I3,I4,I5,I6
0.000,1.245,0.000,-0.205,0.000,0.000,0.000
0.000,0.497,0.000,0.033,0.000,0.000,0.000
0.000,1.492,0.000,0.117,0.000,0.000,0.000
0.000,0.994,0.000,-0.122,0.000,0.000,0.000
0.000,0.994,0.000,0.090,0.000,0.000,0.000
0.000,0.746,0.000,-0.132,0.000,0.000,0.000
0.000,1.244,0.000,-0.051,0.000,0.000,0.000
0.000,1.244,0.000,-0.051,0.000,0.000,0.000
0.000,1.492,0.000,0.033,0.000,0.000,0.000
0.000,1.492,0.000,-0.038,0.000,0.000,0.000
0.000,0.745,0.000,-0.122,0.000,0.000,0.000
0.000,1.492,0.000,-0.122,0.000,0.000,0.000
0.000,0.994,0.000,0.033,0.000,0.000,0.000
0.000,1.243,0.000,0.033,0.000,0.000,0.000
0.000,0.994,0.000,-0.051,0.000,0.000,0.000
0.000,1.243,0.000,0.033,0.000,0.000,0.000
0.000,1.244,0.000,-0.051,0.000,0.000,0.000
0.000,0.497,0.000,-0.051,0.000,0.000,0.000
0.000,1.492,0.000,-0.132,0.000,0.000,0.000
0.000,1.244,0.000,-0.132,0.000,0.000,0.000
0.000,0.994,0.000,0.020,0.000,0.000,0.000
0.000,1.492,0.000,0.020,0.000,0.000,0.000
0.000,1.243,0.000,-0.051,0.000,0.000,0.000
0.000,1.244,0.000,-0.051,0.000,0.000,0.000
0.000,1.493,0.000,-0.051,0.000,0.000,0.000
0.000,1.244,0.000,-0.210,0.000,0.000,0.000
0.000,0.994,0.000,0.020,0.000,0.000,0.000
0.000,1.245,0.000,-0.051,0.000,0.000,0.000
0.000,0.746,0.000,-0.122,0.000,0.000,0.000
0.000,1.244,0.000,0.020,0.000,0.000,0.000
0.000,1.492,0.000,0.033,0.000,0.000,0.000
0.000,1.244,0.000,0.103,0.000,0.000,0.000
0.000,0.994,0.000,-0.051,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.746,0.000,-0.051,0.000,0.000,0.000
0.000,0.745,0.000,-0.051,0.000,0.000,0.000
0.000,1.742,0.000,0.090,0.000,0.000,0.000
0.000,0.994,0.000,0.033,0.000,0.000,0.000
0.000,0.994,0.000,-0.051,0.000,0.000,0.000
0.000,0.497,0.000,-0.051,0.000,0.000,0.000
0.000,0.746,0.000,0.103,0.000,0.000,0.000
0.000,1.492,0.000,0.103,0.000,0.000,0.000
0.000,0.994,0.000,0.117,0.000,0.000,0.000
0.000,0.745,0.000,-0.051,0.000,0.000,0.000
0.000,0.995,0.000,-0.051,0.000,0.000,0.000
0.000,1.244,0.000,0.033,0.000,0.000,0.000
0.000,0.746,0.000,-0.062,0.000,0.000,0.000
0.000,0.994,0.000,-0.051,0.000,0.000,0.000
0.000,0.746,0.000,0.020,0.000,0.000,0.000
0.000,0.745,0.000,-0.132,0.000,0.000,0.000
0.000,1.492,0.000,0.103,0.000,0.000,0.000
0.000,0.746,0.000,0.033,0.000,0.000,0.000
