I0,I1,I2,I3,I4,I5,I6
0.000,1.314,0.000,0.004,0.000,0.000,0.000
0.000,0.876,0.000,0.182,0.000,0.000,0.000
0.000,1.534,0.000,0.146,0.000,0.000,0.000
0.000,1.315,0.000,0.182,0.000,0.000,0.000
0.000,1.314,0.000,0.094,0.000,0.000,0.000
0.000,1.095,0.000,0.094,0.000,0.000,0.000
0.000,1.312,0.000,0.129,0.000,0.000,0.000
0.000,0.656,0.000,0.040,0.000,0.000,0.000
0.000,1.314,0.000,0.236,0.000,0.000,0.000
0.000,1.094,0.000,0.094,0.000,0.000,0.000
0.000,1.095,0.000,0.236,0.000,0.000,0.000
0.000,0.656,0.000,0.040,0.000,0.000,0.000
0.000,1.532,0.000,0.182,0.000,0.000,0.000
0.000,1.095,0.000,0.129,0.000,0.000,0.000
0.000,1.095,0.000,0.094,0.000,0.000,0.000
0.000,0.876,0.000,0.182,0.000,0.000,0.000
0.000,0.656,0.000,0.182,0.000,0.000,0.000
0.000,0.875,0.000,0.094,0.000,0.000,0.000
0.000,1.313,0.000,0.094,0.000,0.000,0.000
0.000,0.437,0.000,0.236,0.000,0.000,0.000
0.000,0.657,0.000,0.146,0.000,0.000,0.000
0.000,0.656,0.000,0.129,0.000,0.000,0.000
0.000,1.094,0.000,-0.012,0.000,0.000,0.000
0.000,1.314,0.000,0.129,0.000,0.000,0.000
0.000,1.314,0.000,0.129,0.000,0.000,0.000
0.000,0.656,0.000,0.182,0.000,0.000,0.000
