I0,I1,I2,I3,I4,I5,I6
0.000,2.551,177.500,0.513,0.000,0.000,0.000
0.000,2.764,175.301,-0.032,0.000,0.000,0.000
0.000,2.764,173.940,0.292,0.000,0.000,0.000
0.000,2.551,175.301,0.509,0.000,0.000,0.000
0.000,2.762,180.537,0.436,0.000,0.000,0.000
0.000,2.978,178.757,0.581,0.000,0.000,0.000
0.000,3.403,176.139,0.521,0.000,0.000,0.000
0.000,2.765,176.348,0.387,0.000,0.000,0.000
0.000,2.981,174.777,0.310,0.000,0.000,0.000
0.000,3.188,174.777,0.444,0.000,0.000,0.000
0.000,2.549,178.547,0.477,0.000,0.000,0.000
0.000,3.191,182.003,0.454,0.000,0.000,0.000
0.000,2.978,178.338,0.559,0.000,0.000,0.000
0.000,2.550,175.720,0.468,0.000,0.000,0.000
0.000,2.761,176.348,0.287,0.000,0.000,0.000
0.000,2.978,174.777,0.317,0.000,0.000,0.000
0.000,3.188,175.301,0.466,0.000,0.000,0.000
0.000,2.978,171.950,0.435,0.000,0.000,0.000
0.000,2.978,178.547,0.389,0.000,0.000,0.000
0.000,2.978,181.793,0.573,0.000,0.000,0.000
0.000,2.552,180.537,0.405,0.000,0.000,0.000
0.000,2.550,178.547,0.565,0.000,0.000,0.000
0.000,3.403,177.500,0.486,0.000,0.000,0.000
0.000,2.551,174.777,0.391,0.000,0.000,0.000
0.000,3.186,171.322,0.442,0.000,0.000,0.000
0.000,2.975,178.338,0.479,0.000,0.000,0.000
0.000,2.765,180.327,0.370,0.000,0.000,0.000
0.000,2.762,176.767,0.313,0.000,0.000,0.000
0.000,2.761,174.568,0.173,0.000,0.000,0.000
0.000,2.764,173.521,0.283,0.000,0.000,0.000
0.000,2.552,172.892,0.417,0.000,0.000,0.000
0.000,2.978,176.139,0.520,0.000,0.000,0.000
0.000,2.765,180.956,0.452,0.000,0.000,0.000
0.000,2.551,180.537,0.529,0.000,0.000,0.000
0.000,2.761,179.385,0.515,0.000,0.000,0.000
0.000,2.765,177.919,0.560,0.000,0.000,0.000
0.000,2.975,176.558,0.544,0.000,0.000,0.000
0.000,2.976,173.940,0.468,0.000,0.000,0.000
0.000,2.978,170.484,0.341,0.000,0.000,0.000
0.000,2.978,178.338,0.461,0.000,0.000,0.000
0.000,3.405,180.118,0.616,0.000,0.000,0.000
0.000,2.765,176.976,0.334,0.000,0.000,0.000
0.000,2.764,174.568,0.150,0.000,0.000,0.000
0.000,2.975,173.102,0.232,0.000,0.000,0.000
0.000,2.975,172.159,0.304,0.000,0.000,0.000
0.000,2.551,176.139,0.510,0.000,0.000,0.000
0.000,3.188,180.537,0.535,0.000,0.000,0.000
0.000,3.829,177.709,0.580,0.000,0.000,0.000
0.000,2.975,174.149,0.403,0.000,0.000,0.000
0.000,3.403,178.966,0.603,0.000,0.000,0.000
0.000,3.186,178.338,0.658,0.000,0.000,0.000
0.000,2.762,176.139,0.471,0.000,0.000,0.000
0.000,3.403,171.531,0.497,0.000,0.000,0.000
0.000,3.191,178.757,0.574,0.000,0.000,0.000
0.000,3.188,182.003,0.594,0.000,0.000,0.000
0.000,2.762,180.537,0.529,0.000,0.000,0.000
0.000,3.191,178.757,0.511,0.000,0.000,0.000
0.000,3.400,178.128,0.631,0.000,0.000,0.000
0.000,3.188,176.139,0.475,0.000,0.000,0.000
0.000,3.825,173.521,0.459,0.000,0.000,0.000
0.000,3.616,180.956,0.508,0.000,0.000,0.000
0.000,3.829,183.783,0.629,0.000,0.000,0.000
0.000,4.041,182.945,0.676,0.000,0.000,0.000
0.000,3.614,181.793,0.605,0.000,0.000,0.000
0.000,3.191,181.793,0.531,0.000,0.000,0.000
0.000,3.400,180.746,0.472,0.000,0.000,0.000
0.000,3.612,186.192,0.430,0.000,0.000,0.000
0.000,3.191,182.003,0.559,0.000,0.000,0.000
0.000,3.400,179.909,0.658,0.000,0.000,0.000
0.000,3.829,178.757,0.471,0.000,0.000,0.000
0.000,3.400,179.594,0.472,0.000,0.000,0.000
0.000,3.616,178.757,0.682,0.000,0.000,0.000
0.000,4.256,183.783,0.560,0.000,0.000,0.000
0.000,3.616,186.925,0.265,0.000,0.000,0.000
0.000,3.191,185.773,0.305,0.000,0.000,0.000
0.000,3.400,184.935,0.494,0.000,0.000,0.000
0.000,3.612,183.574,0.522,0.000,0.000,0.000
0.000,3.191,183.364,0.415,0.000,0.000,0.000
0.000,3.398,183.364,0.406,0.000,0.000,0.000
0.000,4.256,180.746,0.283,0.000,0.000,0.000
0.000,3.400,181.375,0.360,0.000,0.000,0.000
0.000,3.403,185.773,0.548,0.000,0.000,0.000
0.000,3.186,186.611,0.431,0.000,0.000,0.000
0.000,3.405,183.364,0.177,0.000,0.000,0.000
0.000,3.188,182.527,0.527,0.000,0.000,0.000
0.000,4.043,181.375,0.472,0.000,0.000,0.000
0.000,3.188,180.327,0.574,0.000,0.000,0.000
0.000,3.400,187.344,0.297,0.000,0.000,0.000
0.000,3.829,190.799,0.587,0.000,0.000,0.000
0.000,3.188,190.590,0.651,0.000,0.000,0.000
0.000,3.830,189.962,0.338,0.000,0.000,0.000
0.000,3.398,187.134,-0.011,0.000,0.000,0.000
0.000,3.398,192.370,0.391,0.000,0.000,0.000
0.000,2.975,192.580,0.449,0.000,0.000,0.000
0.000,3.616,190.171,0.499,0.000,0.000,0.000
0.000,3.400,189.019,0.376,0.000,0.000,0.000
0.000,3.189,187.972,0.461,0.000,0.000,0.000
0.000,3.614,187.972,-0.002,0.000,0.000,0.000
0.000,3.400,189.019,0.328,0.000,0.000,0.000
0.000,2.762,192.580,0.492,0.000,0.000,0.000
0.000,2.764,193.208,0.195,0.000,0.000,0.000
0.000,3.403,190.590,0.494,0.000,0.000,0.000
0.000,2.762,188.810,0.450,0.000,0.000,0.000
0.000,3.400,189.752,0.227,0.000,0.000,0.000
0.000,3.616,189.962,0.398,0.000,0.000,0.000
0.000,3.616,192.161,0.482,0.000,0.000,0.000
0.000,3.403,188.391,0.092,0.000,0.000,0.000
0.000,3.616,188.600,0.651,0.000,0.000,0.000
0.000,3.830,187.972,0.417,0.000,0.000,0.000
0.000,3.825,186.925,0.150,0.000,0.000,0.000
0.000,3.398,187.344,0.374,0.000,0.000,0.000
0.000,3.616,185.982,0.483,0.000,0.000,0.000
0.000,3.616,184.935,0.304,0.000,0.000,0.000
0.000,3.402,192.789,0.427,0.000,0.000,0.000
0.000,3.188,189.752,0.442,0.000,0.000,0.000
0.000,2.765,187.344,0.453,0.000,0.000,0.000
0.000,2.974,187.972,0.541,0.000,0.000,0.000
0.000,3.186,189.333,0.437,0.000,0.000,0.000
0.000,3.403,190.590,0.564,0.000,0.000,0.000
0.000,3.825,186.611,0.417,0.000,0.000,0.000
0.000,3.616,187.763,0.371,0.000,0.000,0.000
0.000,3.400,187.344,0.619,0.000,0.000,0.000
0.000,3.614,186.192,0.292,0.000,0.000,0.000
0.000,3.403,186.925,0.317,0.000,0.000,0.000
0.000,3.188,184.935,0.388,0.000,0.000,0.000
0.000,3.186,184.726,0.341,0.000,0.000,0.000
0.000,3.186,185.982,0.575,0.000,0.000,0.000
0.000,3.188,190.381,0.502,0.000,0.000,0.000
0.000,2.978,190.381,0.062,0.000,0.000,0.000
0.000,3.403,190.381,0.364,0.000,0.000,0.000
0.000,2.768,186.925,0.460,0.000,0.000,0.000
0.000,3.612,186.925,0.568,0.000,0.000,0.000
0.000,4.037,184.202,0.507,0.000,0.000,0.000
0.000,3.403,188.810,0.269,0.000,0.000,0.000
0.000,3.186,188.810,0.522,0.000,0.000,0.000
0.000,3.400,187.134,0.527,0.000,0.000,0.000
0.000,3.186,187.344,0.217,0.000,0.000,0.000
0.000,3.398,185.773,0.349,0.000,0.000,0.000
0.000,3.186,190.590,0.540,0.000,0.000,0.000
0.000,3.403,189.543,0.294,0.000,0.000,0.000
0.000,3.616,189.019,0.549,0.000,0.000,0.000
0.000,3.191,186.611,0.289,0.000,0.000,0.000
0.000,3.191,187.763,0.273,0.000,0.000,0.000
0.000,2.764,187.344,0.524,0.000,0.000,0.000
0.000,3.616,186.192,0.259,0.000,0.000,0.000
0.000,3.612,184.202,0.432,0.000,0.000,0.000
0.000,3.400,189.962,0.597,0.000,0.000,0.000
0.000,3.403,190.381,0.247,0.000,0.000,0.000
0.000,3.403,189.333,0.511,0.000,0.000,0.000
0.000,2.975,189.752,0.143,0.000,0.000,0.000
0.000,3.611,191.009,0.388,0.000,0.000,0.000
0.000,3.612,190.171,0.513,0.000,0.000,0.000
0.000,3.400,189.019,0.356,0.000,0.000,0.000
0.000,3.188,189.543,0.640,0.000,0.000,0.000
0.000,3.191,187.553,0.212,0.000,0.000,0.000
0.000,2.974,188.391,0.273,0.000,0.000,0.000
0.000,2.550,187.344,0.406,0.000,0.000,0.000
0.000,3.398,185.773,0.260,0.000,0.000,0.000
0.000,3.616,183.574,0.444,0.000,0.000,0.000
0.000,3.189,189.752,0.453,0.000,0.000,0.000
0.000,3.400,190.799,0.227,0.000,0.000,0.000
0.000,3.186,189.752,0.438,0.000,0.000,0.000
0.000,3.188,189.752,0.206,0.000,0.000,0.000
0.000,3.829,190.799,0.385,0.000,0.000,0.000
0.000,3.616,189.333,0.336,0.000,0.000,0.000
0.000,3.403,188.810,0.300,0.000,0.000,0.000
0.000,3.611,189.962,0.459,0.000,0.000,0.000
0.000,3.191,187.972,0.134,0.000,0.000,0.000
0.000,3.191,189.019,0.461,0.000,0.000,0.000
0.000,2.975,188.181,0.428,0.000,0.000,0.000
0.000,3.189,186.925,0.234,0.000,0.000,0.000
0.000,3.829,184.726,0.399,0.000,0.000,0.000
0.000,2.974,190.171,0.452,0.000,0.000,0.000
0.000,3.186,191.009,0.372,0.000,0.000,0.000
0.000,3.825,189.019,0.359,0.000,0.000,0.000
0.000,3.618,189.019,0.090,0.000,0.000,0.000
0.000,3.403,187.134,0.458,0.000,0.000,0.000
0.000,3.611,187.134,0.262,0.000,0.000,0.000
0.000,3.191,193.208,0.492,0.000,0.000,0.000
0.000,3.405,192.161,0.054,0.000,0.000,0.000
0.000,3.406,189.752,0.406,0.000,0.000,0.000
0.000,2.975,190.171,0.295,0.000,0.000,0.000
0.000,2.550,191.742,0.583,0.000,0.000,0.000
0.000,3.403,194.150,0.452,0.000,0.000,0.000
0.000,2.976,191.218,0.460,0.000,0.000,0.000
0.000,2.974,191.218,0.266,0.000,0.000,0.000
0.000,3.403,191.009,0.083,0.000,0.000,0.000
0.000,3.398,190.590,0.447,0.000,0.000,0.000
0.000,2.764,191.009,0.138,0.000,0.000,0.000
0.000,3.403,192.580,0.350,0.000,0.000,0.000
0.000,3.400,192.161,0.226,0.000,0.000,0.000
0.000,3.186,191.742,0.507,0.000,0.000,0.000
0.000,2.550,192.370,0.370,0.000,0.000,0.000
0.000,2.975,189.962,0.367,0.000,0.000,0.000
0.000,3.403,194.988,0.164,0.000,0.000,0.000
0.000,2.975,192.789,0.337,0.000,0.000,0.000
0.000,3.188,197.606,0.111,0.000,0.000,0.000
0.000,3.402,198.025,0.583,0.000,0.000,0.000
0.000,2.762,195.826,0.275,0.000,0.000,0.000
0.000,3.400,195.617,0.460,0.000,0.000,0.000
0.000,2.764,195.826,0.414,0.000,0.000,0.000
0.000,3.403,193.208,0.331,0.000,0.000,0.000
0.000,2.975,194.150,0.428,0.000,0.000,0.000
0.000,3.830,196.559,-0.100,0.000,0.000,0.000
0.000,2.974,196.768,0.350,0.000,0.000,0.000
0.000,2.975,194.150,0.195,0.000,0.000,0.000
0.000,3.188,192.999,0.479,0.000,0.000,0.000
0.000,3.406,193.627,0.536,0.000,0.000,0.000
0.000,3.191,192.580,0.408,0.000,0.000,0.000
0.000,3.191,187.972,0.316,0.000,0.000,0.000
0.000,3.616,189.543,0.229,0.000,0.000,0.000
0.000,3.400,192.580,0.430,0.000,0.000,0.000
0.000,3.186,193.417,0.203,0.000,0.000,0.000
0.000,2.975,192.161,0.436,0.000,0.000,0.000
0.000,3.191,188.810,0.148,0.000,0.000,0.000
0.000,2.975,189.019,0.294,0.000,0.000,0.000
0.000,2.975,192.161,0.383,0.000,0.000,0.000
0.000,3.188,193.627,0.297,0.000,0.000,0.000
0.000,2.978,191.742,0.521,0.000,0.000,0.000
0.000,3.616,191.428,0.482,0.000,0.000,0.000
0.000,3.398,192.370,0.261,0.000,0.000,0.000
0.000,3.191,191.009,0.538,0.000,0.000,0.000
0.000,3.191,194.779,0.476,0.000,0.000,0.000
0.000,3.186,192.789,0.142,0.000,0.000,0.000
0.000,3.191,190.799,0.485,0.000,0.000,0.000
0.000,3.191,192.161,0.260,0.000,0.000,0.000
0.000,3.619,191.951,0.490,0.000,0.000,0.000
0.000,3.188,189.019,0.260,0.000,0.000,0.000
0.000,3.616,190.171,-0.031,0.000,0.000,0.000
0.000,3.403,192.999,0.265,0.000,0.000,0.000
0.000,3.400,193.208,0.547,0.000,0.000,0.000
0.000,2.551,190.171,0.345,0.000,0.000,0.000
0.000,2.978,188.391,0.452,0.000,0.000,0.000
0.000,3.829,189.543,0.554,0.000,0.000,0.000
0.000,3.186,190.381,0.314,0.000,0.000,0.000
0.000,3.188,191.951,0.514,0.000,0.000,0.000
0.000,3.616,187.344,0.481,0.000,0.000,0.000
0.000,3.191,187.344,0.334,0.000,0.000,0.000
0.000,2.974,186.925,0.326,0.000,0.000,0.000
0.000,2.976,186.192,0.684,0.000,0.000,0.000
0.000,3.398,186.192,0.347,0.000,0.000,0.000
0.000,3.612,184.202,0.326,0.000,0.000,0.000
0.000,3.612,192.789,0.522,0.000,0.000,0.000
0.000,3.829,191.009,-0.012,0.000,0.000,0.000
0.000,2.974,189.019,0.693,0.000,0.000,0.000
